name	type	units	low_cutoff	high_cutoff	notch	software_filters	status	status_description	sampling_frequency	description
C'1	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
C'2	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
C'3	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
C'4	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
C'5	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
C'6	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
C'7	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
C'8	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
C'9	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
C'10	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
C'11	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
C'12	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
C'13	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
C'14	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
C'15	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
C'16	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
PC1	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
PC2	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
PC3	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
PC4	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
PC5	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
PC6	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
PC7	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
PC8	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
PC9	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
PC10	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
PC11	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
PC12	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
PC13	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
PC14	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
PI1	EEG	uV	n/a	n/a	n/a	n/a	n/a	n/a	500	n/a
